,OrderId,Companhia,Secao,Tipo_Questao,Nota,Motivo_Selecionado,Comentario,Grupo_Motivo,Classificacao_NPS
1,2726640,Bradesco Seguros,Vidro Lateral Esquerdo/Motorista,Carglass,3,Demora para agendamento,"Fiquei 5 dias sem poder utilizar meu veículo aguardando liberação de vidro. 
Recebi mensagens de confirmação de agendamento e ao chega em loja, não estava autorizado o serviço. ",Liberação,Detrator
2,2636384,Leaseplan,Parabrisa,Carglass,7,Atraso na liberação do atendimento,Cliente ressalta que teve demora no retorno do seu atendimento.,Liberação,Neutro
3,2671666,Bradesco Seguros,Parabrisa,Carglass,7,Problemas/dificuldade com link de vistoria,"Em contato com Aureliano (filho da segurada), informou que a Carglass fica pedindo para enviar foto para fazer a vistoria, não gosta, acha que a oficina que deveria fazer a vistoria.",Mensageria,Neutro
4,2669978,Azul Seguros,Funilaria Para-lama Traseiro Esquerdo,Carglass,7,Demora/Divergência de informações no momento do atendimento,"Em contato com Thiago, informou que só descobriu na  oficina que por ser 2 peças, precisava de 2 chamados.  Conseguiu incluir o 2ª peça.",Liberação,Neutro
12,2588517,Bradesco Seguros,Parabrisa,Carglass,9,A experiência com atendimento e serviço prestado agradou o cliente,Deu tudo certo,Qualidade do atendimento,Promotor
16,2592264,Bradesco Seguros,Parabrisa,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,Foi bem atendido e bem rápido ,Qualidade do atendimento,Promotor
19,2596690,Bradesco Seguros,Funilaria Porta Dianteira Direita,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente, ,Qualidade do atendimento,Promotor
21,2715266,Porto Seguro,Funilaria Para-Choque Dianteiro Direito/Passageiro,Carglass,10,Qualidade do atendimento – telefonia e agendamento,excelente foi muito rápido!,Liberação,Promotor
22,2711999,Bradesco Seguros,Retrovisor Direito/Passageiro,Carglass,10,Qualidade do atendimento em geral,"Em contato com o cliente Paulo gostou da agilidade no atendimento  .
",Qualidade do atendimento,Promotor
28,2611669,Bradesco Seguros,Parabrisa,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Cliente ressalta que o seu atendimento deu tudo certo. ,Qualidade do atendimento,Promotor
29,2612626,Bradesco Seguros,Parabrisa,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,Cliente ressalta que o atendimento é prático e rápido,Qualidade do atendimento,Promotor
32,2693415,HelpS - Santander,Funilaria Tampa traseira,Carglass,10,Qualidade do atendimento – telefonia e agendamento,Ótimo! ,Liberação,Promotor
35,2620579,Bradesco Seguros,Farol Esquerdo/Motorista Led,Carglass,10,Qualidade do atendimento em geral,Cliente ressalta que o seu atendimento foi perfeito.,Qualidade do atendimento,Promotor
36,2692264,Bradesco Seguros,Parabrisa,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Rápido e eficiente ,Qualidade do atendimento,Promotor
39,2622335,Seguros Sura,Parabrisa,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,"cliente ressalta rapidez, praticidade, bom atendimento e agilidade. Cliente informa que ficou muito satisfeito com todo o processo tudo muito bem explicado e tudo perfeito. ",Qualidade do atendimento,Promotor
44,2625385,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,"Em contato com Maria (Mãe da Segurada), Informou que foi bem atendida e rápido. ",Qualidade do atendimento,Promotor
47,2628205,Seguros Sura,Parabrisa,Carglass,10,Qualidade do atendimento em geral,"Em contato com o cliente Valter, informou que foram bem atendidos.",Qualidade do atendimento,Promotor
48,2685541,Bradesco Seguros,Funilaria Capô,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Agilidade,Qualidade do atendimento,Promotor
51,2630111,Bradesco Seguros,Funilaria Tampa traseira,Carglass,10,Qualidade do atendimento em geral,"Ótimo atendimentos, prestação de serviços e oficina credenciada",Qualidade do atendimento,Promotor
